Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,33,1,0,<=6,5,1,2.5824550943520652e-06,4.1153,19.1571,4.66,50,1,1.0,1,0.7273,1,0.8,xenium_human_breast_cancer_seed4
Non-Contiguous Random,33,1,0,<=6,5,1,-2.658122372711791e-06,4.5935,19.2929,4.2,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Contiguous Random,34,3,13,<=6,5,3,0.03363184034147687,4.6597,21.8098,4.68,50,1,0.175,1,0.129,1,0.0535,xenium_human_breast_cancer_seed4
Non-Contiguous Random,34,3,13,<=6,5,2,0.008259980662600586,5.5204,21.6584,3.92,50,1,0.3043,1,0.21,1,0.0807,xenium_human_breast_cancer_seed4
Contiguous Random,35,1,4,<=6,4,1,7.463073730673564e-07,3.6749,19.0848,5.19,50,1,1.0,1,0.9,1,0.9615,xenium_human_breast_cancer_seed4
Non-Contiguous Random,35,1,4,<=6,4,2,0.054350277118682844,5.1489,18.9858,3.69,50,1,0.3333,1,0.2,1,0.1935,xenium_human_breast_cancer_seed4
Contiguous Random,36,1,12,<=6,5,1,3.879058278921654e-06,5.6984,21.499,3.77,50,1,1.0,1,0.4286,1,0.1518,xenium_human_breast_cancer_seed4
Non-Contiguous Random,36,1,12,<=6,5,3,0.21801989925428555,4.3126,21.475,4.98,50,0,0.0,1,0.625,1,0.5,xenium_human_breast_cancer_seed4
Contiguous Random,37,3,9,<=6,6,1,-4.466212512321821e-06,5.237,22.9847,4.39,50,1,1.0,1,0.7857,1,0.3026,xenium_human_breast_cancer_seed4
Non-Contiguous Random,37,3,9,<=6,6,2,0.0024873141953604128,7.1844,23.1551,3.22,50,1,0.6923,1,0.4342,1,0.2388,xenium_human_breast_cancer_seed4
Contiguous Random,38,0,14,<=6,6,20,0.17035305709113668,5.819,23.1326,3.98,50,1,0.0571,1,0.0458,1,0.0468,xenium_human_breast_cancer_seed4
Non-Contiguous Random,38,0,14,<=6,6,53,0.3355410511104798,6.2802,23.3013,3.71,50,0,0.0,1,0.0492,1,0.0387,xenium_human_breast_cancer_seed4
Contiguous Random,39,1,1,<=6,6,1,-3.0637142190981237e-06,4.6531,20.8066,4.47,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,39,1,1,<=6,6,1,-4.396859645261486e-07,5.6764,21.4849,3.78,50,1,1.0,1,0.6667,1,0.4301,xenium_human_breast_cancer_seed4
Contiguous Random,40,0,1,<=6,6,1,-3.945995735443741e-06,5.0932,20.9345,4.11,50,1,1.0,1,0.5833,1,0.6032,xenium_human_breast_cancer_seed4
Non-Contiguous Random,40,0,1,<=6,6,1,-3.4859649911123114e-06,5.5169,21.2044,3.84,50,1,1.0,1,1.0,1,0.9677,xenium_human_breast_cancer_seed4
Contiguous Random,41,1,13,<=6,5,19,0.3363269769278496,4.5209,21.4476,4.74,50,0,0.0,0,0.0,1,0.0716,xenium_human_breast_cancer_seed4
Non-Contiguous Random,41,1,13,<=6,5,1,-1.3804216515422851e-06,6.125,21.9209,3.58,50,1,0.3333,1,0.0882,1,0.06,xenium_human_breast_cancer_seed4
Contiguous Random,42,3,8,<=6,6,3,0.2065487691260569,5.6327,23.3211,4.14,50,1,0.3333,1,0.5,1,0.2772,xenium_human_breast_cancer_seed4
Non-Contiguous Random,42,3,8,<=6,6,1,-3.323048666237227e-06,5.4378,23.5031,4.32,50,1,0.8333,1,0.6667,1,0.5584,xenium_human_breast_cancer_seed4
Contiguous Random,43,1,9,<=6,6,2,0.03493656711106147,6.1279,23.5718,3.85,50,1,0.5263,1,0.1481,1,0.0468,xenium_human_breast_cancer_seed4
Non-Contiguous Random,43,1,9,<=6,6,1,-4.435317213169476e-06,6.3025,23.2755,3.69,50,1,0.5714,1,0.3368,1,0.0574,xenium_human_breast_cancer_seed4
Contiguous Random,44,1,5,<=6,6,1,-3.1088617485908188e-06,6.6266,22.2429,3.36,50,1,0.25,1,0.16,1,0.0696,xenium_human_breast_cancer_seed4
Non-Contiguous Random,44,1,5,<=6,6,3,0.07009236918388245,5.702,23.434,4.11,50,1,0.25,1,0.1757,1,0.0522,xenium_human_breast_cancer_seed4
Contiguous Random,45,2,10,<=6,4,3,0.10881106544017793,4.3496,20.2069,4.65,50,1,0.1429,1,0.1395,1,0.0652,xenium_human_breast_cancer_seed4
Non-Contiguous Random,45,2,10,<=6,4,21,0.12558429121017456,3.6291,20.1116,5.54,50,1,0.0385,1,0.0598,1,0.0357,xenium_human_breast_cancer_seed4
