Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,37,2,24,<=6,5,80,0.20276455583754782,3.4952,25.7754,7.37,50,0,0.0,1,0.0236,1,0.0234,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,37,2,24,<=6,5,14,0.08097216549896713,5.2106,25.6417,4.92,50,1,0.0926,1,0.0647,1,0.0282,xenium_human_pancreatic_cancer_seed1
Contiguous Random,38,2,13,<=6,5,1,-3.8657513268258725e-07,4.3186,24.6219,5.7,50,1,0.8,1,0.6875,1,0.5506,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,38,2,13,<=6,5,1,-4.039941112227163e-06,4.3216,24.8261,5.74,50,1,1.0,1,0.9333,1,0.963,xenium_human_pancreatic_cancer_seed1
Contiguous Random,39,1,9,<=6,5,1,4.3991181890024045e-06,6.3547,23.927,3.77,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,39,1,9,<=6,5,1,-2.3153618716742486e-06,4.8435,23.7484,4.9,50,1,0.3333,1,0.5455,1,0.2913,xenium_human_pancreatic_cancer_seed1
Contiguous Random,40,3,21,<=6,6,46,0.15822967173053187,8.0284,27.7957,3.46,50,1,0.0328,1,0.0486,1,0.0336,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,40,3,21,<=6,6,11,0.039516798806574494,7.9052,27.8735,3.53,50,1,0.0673,1,0.0545,1,0.0339,xenium_human_pancreatic_cancer_seed1
Contiguous Random,41,3,7,<=6,5,1,9.826857501060715e-07,5.4877,23.0026,4.19,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,41,3,7,<=6,5,1,-1.3326120550799514e-06,5.1341,24.1312,4.7,50,1,1.0,1,1.0,1,0.6866,xenium_human_pancreatic_cancer_seed1
Contiguous Random,42,2,17,<=6,6,4,0.07257782344160302,6.3458,27.7698,4.38,50,1,0.2558,1,0.1266,1,0.0457,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,42,2,17,<=6,6,1,1.144103444650213e-06,7.4309,27.6465,3.72,50,1,0.24,1,0.1429,1,0.0508,xenium_human_pancreatic_cancer_seed1
Contiguous Random,43,0,5,<=6,6,1,-6.353309557026454e-07,5.1877,23.6676,4.56,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,43,0,5,<=6,6,1,-6.353309557026454e-07,5.1376,23.4337,4.56,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,44,2,26,<=6,4,2,0.01759078683853149,7.9764,23.6365,2.96,50,1,0.2,1,0.2174,1,0.1349,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,44,2,26,<=6,4,1,4.267506599431314e-06,7.4988,23.301,3.11,50,1,0.5714,1,0.1795,1,0.0597,xenium_human_pancreatic_cancer_seed1
Contiguous Random,45,1,21,<=6,4,1,1.260881423936766e-06,5.1566,23.7181,4.6,50,1,0.1429,1,0.0819,1,0.0375,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,45,1,21,<=6,4,36,0.33907096971035,4.1707,23.3842,5.61,50,0,0.0,0,0.0,1,0.0564,xenium_human_pancreatic_cancer_seed1
Contiguous Random,46,2,24,<=6,6,64,0.1204767594924292,5.5646,28.2662,5.08,50,1,0.0286,1,0.0407,1,0.0248,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,46,2,24,<=6,6,43,0.1296017763428295,5.4573,28.037,5.14,50,1,0.0088,1,0.0055,1,0.0226,xenium_human_pancreatic_cancer_seed1
Contiguous Random,47,1,7,<=6,4,3,0.05725996372222897,5.4898,22.2507,4.05,50,1,0.5312,1,0.4512,1,0.2551,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,47,1,7,<=6,4,1,-3.092583417893535e-06,5.1267,22.1206,4.31,50,1,0.9286,1,0.8108,1,0.5333,xenium_human_pancreatic_cancer_seed1
Contiguous Random,48,0,13,<=6,5,1,4.691590456740169e-06,4.7381,24.6347,5.2,50,1,1.0,1,1.0,1,0.9655,xenium_human_pancreatic_cancer_seed1
