Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,44,0,5,<=6,6,1,-4.537224364442594e-06,2.9035,8.5796,2.95,50,1,1.0,1,1.0,1,0.9643,xenium_human_kidney_nondiseased_seed4
Contiguous Random,45,0,10,<=6,4,1,-1.2708473205447213e-06,2.7794,7.6886,2.77,50,1,0.9,1,0.8,1,0.2816,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,45,0,10,<=6,4,1,9.315347671567942e-07,2.8515,7.6696,2.69,50,1,1.0,1,0.3913,1,0.2135,xenium_human_kidney_nondiseased_seed4
Contiguous Random,46,0,5,<=6,4,1,-4.658317565908732e-06,1.5136,7.4953,4.95,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,46,0,5,<=6,4,1,-3.4772205352862073e-06,2.6687,7.5187,2.82,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,47,0,15,<=6,4,8,0.17417082961082464,1.3292,7.8062,5.87,50,0,0.0,1,0.1892,1,0.1532,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,47,0,15,<=6,4,1,-5.632305145053529e-07,2.2771,7.8312,3.44,50,1,1.0,1,1.0,1,0.8261,xenium_human_kidney_nondiseased_seed4
Contiguous Random,48,0,9,<=6,5,1,3.836427130365916e-06,3.3321,8.1164,2.44,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,48,0,9,<=6,5,1,-3.8253593492854066e-07,1.7562,8.0856,4.6,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,49,0,0,<=6,6,1,0.0,2.0824,7.7834,3.74,50,1,0.6667,1,0.6667,1,0.6667,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,49,0,0,<=6,6,1,-1.0804470785830134e-06,1.8961,7.6196,4.02,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
