modality,id,x0,y0,x1,y1
Xenium,85,4491.0075465202335,899.1252993583679,4819.180812263488,1345.627729845047
Xenium,86,4162.834280776978,899.1252993583679,4491.0075465202335,1345.627729845047
Xenium,87,5147.354078006744,452.6228688716888,5475.52734375,899.1252993583679
Xenium,88,4819.180812263488,452.6228688716888,5147.354078006744,899.1252993583679
Xenium,89,5147.354078006744,6.120438385009765,5475.52734375,452.6228688716888
Xenium,90,4819.180812263488,6.120438385009765,5147.354078006744,452.6228688716888
Xenium,91,4491.0075465202335,452.6228688716888,4819.180812263488,899.1252993583679
Xenium,92,4162.834280776978,452.6228688716888,4491.0075465202335,899.1252993583679
Xenium,93,4491.0075465202335,6.120438385009765,4819.180812263488,452.6228688716888
Xenium,94,4162.834280776978,6.120438385009765,4491.0075465202335,452.6228688716888
Xenium,95,3506.487749290466,899.1252993583679,4162.834280776978,1792.130160331726
Xenium,96,3178.3144835472103,1345.627729845047,3506.487749290466,1792.130160331726
Xenium,97,2850.141217803955,1345.627729845047,3178.3144835472103,1792.130160331726
Xenium,98,3178.3144835472103,899.1252993583679,3506.487749290466,1345.627729845047
Xenium,99,2850.141217803955,899.1252993583679,3178.3144835472103,1345.627729845047
Xenium,100,3834.661015033722,452.6228688716888,4162.834280776978,899.1252993583679
Xenium,101,3506.487749290466,452.6228688716888,3834.661015033722,899.1252993583679
Xenium,102,3834.661015033722,6.120438385009765,4162.834280776978,452.6228688716888
Xenium,103,3506.487749290466,6.120438385009765,3834.661015033722,452.6228688716888
Xenium,104,3178.3144835472103,452.6228688716888,3506.487749290466,899.1252993583679
Xenium,105,2850.141217803955,452.6228688716888,3178.3144835472103,899.1252993583679
Xenium,106,3178.3144835472103,6.120438385009765,3506.487749290466,452.6228688716888
Xenium,107,2850.141217803955,6.120438385009765,3178.3144835472103,452.6228688716888
Xenium,108,2193.794686317444,2685.135021305084,2850.141217803955,3578.139882278442
Xenium,109,1865.621420574188,3131.637451791763,2193.794686317444,3578.139882278442
Xenium,110,1537.4481548309325,3131.637451791763,1865.621420574188,3578.139882278442
Xenium,111,1865.621420574188,2685.135021305084,2193.794686317444,3131.637451791763
Xenium,112,1537.4481548309325,2685.135021305084,1865.621420574188,3131.637451791763
Xenium,113,2521.9679520606996,2238.6325908184053,2850.141217803955,2685.135021305084
Xenium,114,2193.794686317444,2238.6325908184053,2521.9679520606996,2685.135021305084
Xenium,115,2521.9679520606996,1792.130160331726,2850.141217803955,2238.6325908184053
Xenium,116,2193.794686317444,1792.130160331726,2521.9679520606996,2238.6325908184053
Xenium,117,1865.621420574188,2238.6325908184053,2193.794686317444,2685.135021305084
Xenium,118,1537.4481548309325,2238.6325908184053,1865.621420574188,2685.135021305084
Xenium,119,1865.621420574188,1792.130160331726,2193.794686317444,2238.6325908184053
Xenium,120,1537.4481548309325,1792.130160331726,1865.621420574188,2238.6325908184053
Xenium,121,1209.274889087677,3131.637451791763,1537.4481548309325,3578.139882278442
Xenium,122,881.1016233444213,3131.637451791763,1209.274889087677,3578.139882278442
Xenium,123,1209.274889087677,2685.135021305084,1537.4481548309325,3131.637451791763
Xenium,124,881.1016233444213,2685.135021305084,1209.274889087677,3131.637451791763
Xenium,125,224.75509185791012,2685.135021305084,881.1016233444213,3578.139882278442
Xenium,126,1209.274889087677,2238.6325908184053,1537.4481548309325,2685.135021305084
Xenium,127,881.1016233444213,2238.6325908184053,1209.274889087677,2685.135021305084
Xenium,128,1209.274889087677,1792.130160331726,1537.4481548309325,2238.6325908184053
Xenium,129,881.1016233444213,1792.130160331726,1209.274889087677,2238.6325908184053
Xenium,130,552.9283576011658,2238.6325908184053,881.1016233444213,2685.135021305084
Xenium,131,224.75509185791012,2238.6325908184053,552.9283576011658,2685.135021305084
Xenium,132,552.9283576011658,1792.130160331726,881.1016233444213,2238.6325908184053
Xenium,133,224.75509185791012,1792.130160331726,552.9283576011658,2238.6325908184053
Xenium,134,2521.9679520606996,1345.627729845047,2850.141217803955,1792.130160331726
Xenium,135,2193.794686317444,1345.627729845047,2521.9679520606996,1792.130160331726
Xenium,136,2521.9679520606996,899.1252993583679,2850.141217803955,1345.627729845047
Xenium,137,2193.794686317444,899.1252993583679,2521.9679520606996,1345.627729845047
