Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,42,0,2,<=6,6,1,-3.930420510139809e-06,6.8278,27.1579,3.98,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,43,2,17,<=6,5,4,0.1763767309131995,7.9764,27.6418,3.47,50,0,0.0,1,0.1538,1,0.1435,xenium_human_lymph_node_seed2
Non-Contiguous Random,43,2,17,<=6,5,2,0.044197928550628984,6.7568,27.7287,4.1,50,1,0.2,1,0.0612,1,0.0723,xenium_human_lymph_node_seed2
Contiguous Random,44,2,5,<=6,4,9,0.1768,5.1081,24.8034,4.86,50,0,0.0,1,0.0312,1,0.0963,xenium_human_lymph_node_seed2
Non-Contiguous Random,44,2,5,<=6,4,6,0.21075446414709093,5.0781,24.938,4.91,50,0,0.0,1,0.2,1,0.0918,xenium_human_lymph_node_seed2
Contiguous Random,45,1,3,<=6,5,4,0.1313719806217697,6.6188,26.2983,3.97,50,1,0.2,1,0.2059,1,0.1239,xenium_human_lymph_node_seed2
Non-Contiguous Random,45,1,3,<=6,5,4,0.22009594812716496,5.53,26.1281,4.72,50,0,0.0,1,0.3143,1,0.1654,xenium_human_lymph_node_seed2
Contiguous Random,46,0,17,<=6,5,12,0.0656682084904866,4.6074,28.3043,6.14,50,1,0.0424,1,0.0411,1,0.0317,xenium_human_lymph_node_seed2
Non-Contiguous Random,46,0,17,<=6,5,26,0.16214783218023232,5.141,28.0592,5.46,50,0,0.0,1,0.0241,1,0.026,xenium_human_lymph_node_seed2
Contiguous Random,47,0,15,<=6,5,1,-4.1815829961433515e-06,6.8342,28.2221,4.13,50,1,0.1176,1,0.0927,1,0.033,xenium_human_lymph_node_seed2
Non-Contiguous Random,47,0,15,<=6,5,2,0.0834421720980264,7.7589,28.2602,3.64,50,1,0.1429,1,0.0909,1,0.0344,xenium_human_lymph_node_seed2
Contiguous Random,48,2,8,<=6,6,2,0.04457721271800455,8.2441,29.1943,3.54,50,1,0.25,1,0.1081,1,0.0582,xenium_human_lymph_node_seed2
Non-Contiguous Random,48,2,8,<=6,6,1,-4.106446900353777e-06,7.559,29.0538,3.84,50,1,0.8889,1,0.8462,1,0.7692,xenium_human_lymph_node_seed2
Contiguous Random,49,4,12,<=6,4,9,0.24369248358488083,4.3195,25.578,5.92,50,0,0.0,1,0.087,1,0.0777,xenium_human_lymph_node_seed2
Non-Contiguous Random,49,4,12,<=6,4,1,-2.192296981812225e-06,4.9578,25.4138,5.13,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,50,1,13,7-12,9,1,-3.699226379438869e-06,9.6783,40.2801,4.16,50,1,1.0,1,0.8333,1,0.7143,xenium_human_lymph_node_seed2
Non-Contiguous Random,50,1,13,7-12,9,3,0.009517284978230789,9.2215,39.4416,4.28,50,1,0.069,1,0.0515,1,0.0385,xenium_human_lymph_node_seed2
Contiguous Random,51,4,7,7-12,10,1,2.7796989732209454e-06,11.4577,41.0722,3.58,50,1,1.0,1,0.9333,1,0.6744,xenium_human_lymph_node_seed2
Non-Contiguous Random,51,4,7,7-12,10,1,-2.6264293451205845e-07,11.9184,40.7422,3.42,50,1,1.0,1,1.0,1,0.9231,xenium_human_lymph_node_seed2
Contiguous Random,52,2,12,7-12,11,1,2.230856875562459e-06,12.6916,47.6866,3.76,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,52,2,12,7-12,11,1,2.2112675144847493e-06,14.0881,48.105,3.41,50,1,0.3077,1,0.1381,1,0.0312,xenium_human_lymph_node_seed2
Contiguous Random,53,3,6,7-12,8,1,-4.851442319542265e-06,9.5168,32.9912,3.47,50,1,1.0,1,0.9444,1,0.9057,xenium_human_lymph_node_seed2
Non-Contiguous Random,53,3,6,7-12,8,1,3.6597527916515382e-06,10.1195,32.6523,3.23,50,1,0.4286,1,0.292,1,0.1416,xenium_human_lymph_node_seed2
Contiguous Random,54,1,1,7-12,10,1,2.539251877001214e-06,8.7221,36.8737,4.23,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,54,1,1,7-12,10,1,1.322538524563266e-06,9.4057,36.4486,3.88,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,55,3,3,7-12,9,1,-4.844284057614612e-06,7.6738,34.468,4.49,50,1,0.6667,1,0.6351,1,0.5747,xenium_human_lymph_node_seed2
Non-Contiguous Random,55,3,3,7-12,9,1,-1.3923136393256819e-06,9.1968,34.2463,3.72,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,56,0,20,7-12,8,382,0.2772017354907472,8.0594,36.3587,4.51,50,0,0.0,1,0.0024,1,0.0164,xenium_human_lymph_node_seed2
Non-Contiguous Random,56,0,20,7-12,8,5,0.08173597839787483,10.3949,37.1435,3.57,50,1,0.1111,1,0.1587,1,0.0489,xenium_human_lymph_node_seed2
Contiguous Random,57,4,20,7-12,9,5,0.0677921465047201,8.2403,39.0747,4.74,50,1,0.1031,1,0.0499,1,0.027,xenium_human_lymph_node_seed2
Non-Contiguous Random,57,4,20,7-12,9,2,0.008016099383036268,12.5886,39.2444,3.12,50,1,0.1639,1,0.1045,1,0.0287,xenium_human_lymph_node_seed2
Contiguous Random,58,3,2,7-12,10,1,-2.1804315064599677e-07,9.5264,37.8229,3.97,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,58,3,2,7-12,10,1,3.4746489952497406e-06,9.0905,35.3933,3.89,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,59,4,4,7-12,12,1,-7.113671165459579e-07,11.1695,43.2852,3.88,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,59,4,4,7-12,12,1,-9.473020332606552e-07,12.1304,46.1885,3.81,50,1,0.7647,1,0.8261,1,0.4756,xenium_human_lymph_node_seed2
Contiguous Random,60,0,2,7-12,7,1,3.343671548208804e-06,7.2222,29.4819,4.08,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,60,0,2,7-12,7,1,3.2657900807808726e-06,6.1908,28.8609,4.66,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,61,3,8,7-12,10,1,3.3971305068991597e-06,10.497,39.2469,3.74,50,1,0.2941,1,0.1126,1,0.0849,xenium_human_lymph_node_seed2
Non-Contiguous Random,61,3,8,7-12,10,3,0.052655017343261,10.6115,39.2568,3.7,50,1,0.2174,1,0.1217,1,0.0712,xenium_human_lymph_node_seed2
Contiguous Random,62,3,15,7-12,7,1,-1.5103041259845185e-06,9.9133,32.5834,3.29,50,1,0.9,1,0.5455,1,0.122,xenium_human_lymph_node_seed2
Non-Contiguous Random,62,3,15,7-12,7,4,0.045866983679069606,6.1207,32.9841,5.39,50,1,0.0597,1,0.044,1,0.0298,xenium_human_lymph_node_seed2
Contiguous Random,63,1,1,7-12,11,1,2.4754629004419826e-06,9.7693,36.6086,3.75,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,63,1,1,7-12,11,1,-3.1345009485761466e-06,9.5233,39.1612,4.11,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,64,2,17,7-12,11,1,-1.1850495651444248e-06,14.8949,45.316,3.04,50,1,0.2917,1,0.1226,1,0.0349,xenium_human_lymph_node_seed2
Non-Contiguous Random,64,2,17,7-12,11,1,2.3713029981831113e-06,14.0732,45.1306,3.21,50,1,0.1714,1,0.1076,1,0.035,xenium_human_lymph_node_seed2
Contiguous Random,65,3,9,7-12,10,1,-3.2023466858266403e-06,11.3782,40.1553,3.53,50,1,0.2174,1,0.1105,1,0.0549,xenium_human_lymph_node_seed2
Non-Contiguous Random,65,3,9,7-12,10,3,0.06084228038658507,12.2586,40.4084,3.3,50,1,0.241,1,0.0904,1,0.0509,xenium_human_lymph_node_seed2
Contiguous Random,66,4,3,7-12,10,1,6.313123464551929e-07,8.7016,35.7462,4.11,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,66,4,3,7-12,10,1,-1.5662442249264608e-06,8.3203,38.2622,4.6,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,67,4,0,7-12,11,1,4.290850344035313e-06,8.2243,31.9835,3.89,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,67,4,0,7-12,11,1,0.0,8.4594,35.3479,4.18,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,68,4,11,7-12,8,5,0.04322719965487348,10.3965,34.3951,3.31,50,1,0.1282,1,0.109,1,0.0475,xenium_human_lymph_node_seed2
Non-Contiguous Random,68,4,11,7-12,8,1,-2.901436694680015e-06,9.0356,36.5659,4.05,50,1,0.4194,1,0.1774,1,0.0514,xenium_human_lymph_node_seed2
Contiguous Random,69,2,5,7-12,12,1,-4.118419748566637e-06,12.9526,46.9666,3.63,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,69,2,5,7-12,12,1,2.3259985910684122e-06,11.5716,45.1924,3.91,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,70,2,3,7-12,9,1,5.691146850450579e-07,7.7644,34.374,4.43,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,70,2,3,7-12,9,1,1.6501108805466735e-06,7.4468,34.7775,4.67,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,71,2,3,7-12,8,1,2.3397523913337714e-06,7.3054,31.9632,4.38,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,71,2,3,7-12,8,1,-2.5432180694728856e-06,6.7772,31.6381,4.67,50,1,0.8571,1,0.4242,1,0.3784,xenium_human_lymph_node_seed2
Contiguous Random,72,1,9,7-12,9,16,0.10748382362365722,8.7559,38.8446,4.44,50,1,0.0376,1,0.0299,1,0.0305,xenium_human_lymph_node_seed2
Non-Contiguous Random,72,1,9,7-12,9,1,-1.4073308308715227e-06,8.4819,38.0967,4.49,50,1,0.055,1,0.0493,1,0.0427,xenium_human_lymph_node_seed2
Contiguous Random,73,4,20,7-12,8,86,0.3116551842405303,10.9671,35.7812,3.26,50,0,0.0,1,0.0519,1,0.0274,xenium_human_lymph_node_seed2
Non-Contiguous Random,73,4,20,7-12,8,66,0.41457341664856173,13.4276,36.256,2.7,50,0,0.0,0,0.0,1,0.0237,xenium_human_lymph_node_seed2
Contiguous Random,74,3,15,7-12,12,5,0.02486431722094712,11.216,51.6301,4.6,50,1,0.0755,1,0.0519,1,0.0289,xenium_human_lymph_node_seed2
Non-Contiguous Random,74,3,15,7-12,12,2,0.029875038852512303,13.8792,52.1952,3.76,50,1,0.1129,1,0.0705,1,0.0297,xenium_human_lymph_node_seed2
Contiguous Random,75,0,7,7-12,11,1,4.5090391203039815e-06,9.7584,42.5415,4.36,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,75,0,7,7-12,11,1,3.599850485258571e-06,10.9391,42.2042,3.86,50,1,0.8857,1,0.7857,1,0.7812,xenium_human_lymph_node_seed2
Contiguous Random,76,4,19,7-12,10,2,0.0024055476442092494,12.0087,43.3988,3.61,50,1,0.0856,1,0.0543,1,0.0278,xenium_human_lymph_node_seed2
Non-Contiguous Random,76,4,19,7-12,10,13,0.03334756808385181,9.7334,41.7285,4.29,50,1,0.1015,1,0.0484,1,0.0266,xenium_human_lymph_node_seed2
Contiguous Random,77,0,14,7-12,11,1,1.4097801902535068e-06,13.378,48.1111,3.6,50,1,0.3137,1,0.118,1,0.0353,xenium_human_lymph_node_seed2
