Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,34,1,17,<=6,5,1,2.841944491627224e-06,2.9848,9.7836,3.28,50,1,1.0,1,0.7143,1,0.5273,xenium_human_skin_melanoma_seed1
Contiguous Random,35,2,6,<=6,5,1,1.7837470903669939e-06,5.8118,10.1106,1.74,50,1,0.5714,1,0.38,1,0.1584,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,35,2,6,<=6,5,2,0.08566883177962326,4.9615,9.9238,2.0,50,1,0.6667,1,0.5,1,0.2143,xenium_human_skin_melanoma_seed1
Contiguous Random,36,0,8,<=6,5,1,-3.08340188348577e-06,3.3295,10.023,3.01,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,36,0,8,<=6,5,1,-1.472961142001683e-06,2.6231,10.0267,3.82,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,37,1,2,<=6,4,1,-2.4479484558304065e-06,2.1485,8.7986,4.1,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,37,1,2,<=6,4,1,0.0,2.4112,8.8179,3.66,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,38,0,8,<=6,5,5,0.05532247537246676,2.3051,10.0937,4.38,50,1,0.2273,1,0.2174,1,0.1333,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,38,0,8,<=6,5,3,0.07314936173516101,3.1527,10.0828,3.2,50,1,0.2,1,0.1695,1,0.1444,xenium_human_skin_melanoma_seed1
Contiguous Random,39,1,12,<=6,6,1,-5.998684338148763e-07,4.8189,10.8869,2.26,50,1,0.8,1,0.6667,1,0.2857,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,39,1,12,<=6,6,1,-2.46855305530147e-06,3.2824,11.0159,3.36,50,1,0.4615,1,0.3542,1,0.1478,xenium_human_skin_melanoma_seed1
Contiguous Random,40,1,7,<=6,4,1,4.6300697326695506e-06,3.2754,8.9364,2.73,50,1,0.8,1,0.6923,1,0.4421,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,40,1,7,<=6,4,1,7.592201232697882e-07,2.3123,8.9668,3.88,50,1,0.3333,1,0.3333,1,0.3034,xenium_human_skin_melanoma_seed1
Contiguous Random,41,2,6,<=6,6,5,0.07544132605166948,4.3403,11.0622,2.55,50,1,0.1,1,0.1,1,0.0813,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,41,2,6,<=6,6,1,-2.11573766129014e-06,4.1755,10.5779,2.53,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,42,2,5,<=6,4,3,0.05885309467315669,2.8375,9.3227,3.29,50,1,0.1667,1,0.0625,1,0.0513,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,42,2,5,<=6,4,57,0.4134796797561646,2.3789,9.2193,3.88,50,0,0.0,0,0.0,1,0.0255,xenium_human_skin_melanoma_seed1
Contiguous Random,43,1,1,<=6,5,1,3.2109142427683146e-06,2.3168,9.1332,3.94,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,43,1,1,<=6,5,1,4.4988242119403665e-06,3.0649,8.9954,2.93,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,44,2,13,<=6,6,2,0.06451723776186175,3.0139,10.6629,3.54,50,1,0.6364,1,0.5581,1,0.1866,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,44,2,13,<=6,6,1,-4.5471905086857944e-06,3.5225,10.7219,3.04,50,1,0.5714,1,0.2308,1,0.1554,xenium_human_skin_melanoma_seed1
Contiguous Random,45,2,6,<=6,5,1,-6.78020144084801e-07,3.2089,9.6738,3.01,50,1,0.75,1,0.75,1,0.8,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,45,2,6,<=6,5,9,0.16357002571750767,3.0366,9.7918,3.22,50,0,0.0,1,0.1154,1,0.1391,xenium_human_skin_melanoma_seed1
Contiguous Random,46,1,17,<=6,6,1,1.384389522018914e-06,4.377,10.6762,2.44,50,1,1.0,1,1.0,1,0.7778,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,46,1,17,<=6,6,1,-4.250000095185058e-06,3.4808,10.4776,3.01,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,47,2,1,<=6,5,1,0.0,2.9916,9.1297,3.05,50,1,0.8065,1,0.8065,1,0.8065,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,47,2,1,<=6,5,1,-2.6563134291612833e-06,2.8241,9.434,3.34,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,48,2,1,<=6,4,1,-2.9546833038296416e-06,2.2241,8.5311,3.84,50,1,0.9,1,0.9259,1,0.8936,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,48,2,1,<=6,4,1,4.0247344970699775e-06,2.8412,8.6532,3.05,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,49,2,12,<=6,6,11,0.1455055794792633,3.0897,10.8725,3.52,50,0,0.0,1,0.1556,1,0.1328,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,49,2,12,<=6,6,1,-4.1148894056597385e-06,3.1782,10.6586,3.35,50,1,0.6667,1,0.3333,1,0.3099,xenium_human_skin_melanoma_seed1
Contiguous Random,50,1,7,7-12,7,1,-4.279605628543237e-06,3.8805,12.2099,3.15,50,1,1.0,1,1.0,1,0.9375,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,50,1,7,7-12,7,1,7.678679219136342e-07,3.7239,11.2735,3.03,50,1,1.0,1,1.0,1,0.9375,xenium_human_skin_melanoma_seed1
Contiguous Random,51,2,0,7-12,11,1,1.9693956410105073e-08,4.87,14.0901,2.89,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,51,2,0,7-12,11,1,-4.991311703922419e-06,4.7992,12.6555,2.64,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,52,1,6,7-12,9,1,-4.3144734700462095e-06,5.9756,12.6489,2.12,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,52,1,6,7-12,9,1,-4.78235880541078e-06,4.217,12.7372,3.02,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,53,1,0,7-12,10,1,-3.2992721351182697e-06,3.7944,10.2044,2.69,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
